name, person_id
張家恬, D291998842
王靖雯, H194408089
林靜宏, H295803811
張美君, E194714552
高駿貴, F198021497
林昕啟, H191737341
李宜潔, F294348551
唐初名, A295890915
賴聿名, C296038555
林威依, H196003215
林向瑄, H294636343
賴建弘, G294921060
林明倫, B294449184
劉萱生, F294268352
韓瑋婷, H194459273
倪舒以, B197405557
陳淑忠, F197667300
林亮丞, A295814004
陳信秀, D291184857
魏佩珊, A199068506
楊佳琪, H295286463
謝志瑋, C199003285
吳政軍, E195284142
林嘉玲, B294371832
謝珮雄, G193221238
楊文琳, C194689267
唐志軒, D299747561
洪淑娟, A294154750
張廷江, H299453415
袁怡孜, C296185362
卞侑馨, B296131087
鄭鈞美, E199294055
侯玉華, D294452389
賴俊韋, B292181545
張韋伶, G193961853
李佳忠, B293314600
黃昌航, B291481046
陳威德, D193015344
林曉雯, F295319910
吳承發, B198467051
吳佩香, D293170913
林思智, G196524478
黃萬尹, H294900544
李雅嵐, C193518616
許姿穎, H196236938
許育茂, E195857225
孫靜宜, E294690040
溫雅云, A196466251
黃鈺真, C199827463
劉雅雯, B195169629
江玉恬, D295763818
趙方伸, F197866134
黃弘宇, D295240874
陳佳苓, H291571023
曾柏啟, D296691106
王惠雯, F294680312
吳苡凱, E194728798
吳蘭舜, G299533793
詹得紫, B198079953
李治人, B191759323
吳美君, A195967553
柯政勳, F195334246
葉俊憲, F295998564
郭羿迪, C192983619
陳介明, B194965618
陳婕妤, H194636538
張良天, G295828979
陳彥傑, E295998965
蔡克茹, F295992375
陳慧娟, B198212663
彭智翔, G192599844
林建智, B198546968
吳雅琳, B193962739
劉毅劭, C197265198
潘美惠, B298127901
陳盈珍, C193906376
林嘉芷, H292532959
林守惟, E296666186
吳政岑, E298232848
臧健豪, C198360932
王秀瑞, B297539247
李政侑, C298627158
陳慧珊, F294194893
賴佳雯, G295856348
楊惠靖, A296304623
郭新倩, F299186113
黃瓊文, C293955095
周之欣, B291105185
蔡裕南, E299620299
沈惠玲, A191868228
黃建成, H293797445
周曼容, E294941917
蔡雅鈴, C292238399
陳凡新, F197096043
劉家豪, B291260841
洪嘉枝, B193443659
阮湖銘, E297864506
曹哲韋, B297510724
李明岑, H294769356
柳山哲, H293622498
